Nombre,Edad,Titulo_Profesional,Universidad_Instituto,Palabras_Clave,Comuna,Presencial,Magister,Target
Estefanía Marie Carrasco Neira,60,Médico,DUOC UC,1,Las Condes,No,No,Rechazado
Sandra Monserrat Vega Torres,43,Técnico en Informática,Universidad Andrés Bello,9,Puente Alto,Si,No,Rechazado
José Pérez,33,Periodista,Pontificia Universidad Católica,16,Providencia,Si,No,Aceptado
Florencia Rojas,52,Técnico en Administración,DUOC UC,5,Antofagasta,No,Si,Rechazado
Juan Navarro,58,Periodista,Universidad de Chile,3,La Florida,Si,No,Rechazado
Dominique Monserrat Valenzuela Valdivia,56,Enfermero,DUOC UC,4,Estación Central,Si,Si,Rechazado
Oscar Astudillo Fuentealba,61,Licenciado en Ciencias,Universidad Técnica Federico Santa María,6,Concepción,No,Si,Aceptado
Felipe Olivares,28,Ingeniero Comercial,Universidad Diego Portales,3,Peñalolén,Si,Si,Rechazado
Luciana Maribel Tapia Luna,24,Enfermero,Universidad Adolfo Ibáñez,4,Santiago,Si,Si,Rechazado
Bryan Moisés Tapia Riquelme,45,Médico,Instituto Profesional AIEP,1,Independencia,Si,No,Rechazado
Martina Marta Fuentes Rojas,40,Ingeniero Informático,Universidad Andrés Bello,18,Puente Alto,No,No,Aceptado
Jeanette Ana Muñoz Valdés,33,Técnico en Administración,Instituto Profesional AIEP,5,Maipú,Si,No,Rechazado
Pedro Vicente Velásquez Rivera,57,Ingeniero Civil,Pontificia Universidad Católica,18,Viña del Mar,Si,Si,Aceptado
Carla Solange Ávila Cáceres,54,Psicólogo,Universidad Andrés Bello,17,Independencia,No,Si,Aceptado
Pablo Soto,49,Periodista,Universidad de Concepción,14,Valparaíso,No,Si,Rechazado
Ángela Daniela Aranda Torres,48,Psicólogo,Universidad Mayor,14,Independencia,No,Si,Aceptado
Sergio Luis Vargas Díaz,35,Periodista,Universidad Andrés Bello,10,Independencia,Si,No,Rechazado
Cristóbal Sepúlveda,24,Médico,Universidad Técnica Federico Santa María,12,Las Condes,Si,No,Rechazado
Marco Joaquín Baeza Rojas,51,Ingeniero Informático,DUOC UC,12,Maipú,No,No,Rechazado
Rafael Erick González Canales,40,Psicólogo,Pontificia Universidad Católica,9,Las Condes,Si,No,Rechazado
Isabel Mancilla Riquelme,47,Técnico en Informática,Universidad Adolfo Ibáñez,18,Peñalolén,Si,Si,Aceptado
Juan Espinoza Parraguez,42,Ingeniero Comercial,Universidad de Santiago,9,Viña del Mar,No,No,Rechazado
Said Guerrero Araya,57,Ingeniero Comercial,Universidad de Chile,5,Las Condes,No,Si,Rechazado
Emma Sandra Pérez Zavala,56,Diseñador Gráfico,Universidad Andrés Bello,0,Estación Central,No,Si,Rechazado
Gabriela Rojas Acuña,57,Contador Auditor,DUOC UC,5,Independencia,Si,Si,Rechazado
Lucas Hernández,46,Diseñador Gráfico,Universidad Mayor,3,La Florida,No,Si,Rechazado
María Barrera Carrasco,45,Ingeniero Informático,Universidad de Concepción,11,Quilicura,No,No,Rechazado
Francisca Graciela Mansilla Rodríguez,31,Ingeniero Informático,Pontificia Universidad Católica,15,La Florida,No,No,Aceptado
Jorge Salinas Sepúlveda,52,Técnico en Administración,Universidad de Concepción,9,Concepción,Si,No,Rechazado
Alejandra Brenda Rodríguez González,57,Contador Auditor,Universidad Técnica Federico Santa María,10,Concepción,Si,No,Aceptado
Jazmín María Medina Becerra,64,Ingeniero Comercial,Universidad de Santiago,20,Quilicura,Si,No,Aceptado
Jorge Víctor Pardo Lazo,36,Psicólogo,Universidad Andrés Bello,17,Independencia,No,No,Rechazado
Matías Leandro Chacón Zenteno,32,Psicólogo,DUOC UC,19,Maipú,No,No,Aceptado
Emelina Javiera Urzúa Urrutia,35,Diseñador Gráfico,Instituto Profesional AIEP,4,San Miguel,No,No,Rechazado
Isidora Aravena,39,Ingeniero Informático,DUOC UC,4,Estación Central,No,No,Rechazado
Valentina Espinoza,40,Diseñador Gráfico,Universidad Técnica Federico Santa María,18,Estación Central,No,No,Rechazado
Camila González Parra,33,Enfermero,DUOC UC,8,Recoleta,Si,Si,Rechazado
Cecilia Florencia Cárdenas Correa,54,Diseñador Gráfico,Universidad Mayor,16,La Florida,Si,No,Rechazado
Ana Henríquez,55,Arquitecto,Universidad Técnica Federico Santa María,10,Valparaíso,No,Si,Rechazado
Aurelio Felipe Calderón Espinoza,27,Enfermero,DUOC UC,13,Concepción,Si,No,Aceptado
Angélica González,22,Licenciado en Ciencias,Universidad de Concepción,9,Maipú,No,No,Rechazado
Pablo Eduardo Castillo Garrido,60,Ingeniero Comercial,INACAP,11,Concepción,No,No,Aceptado
Juan Abel Sánchez Mancilla,61,Abogado,Universidad de Chile,5,Recoleta,Si,Si,Aceptado
Mario Acuña,53,Médico,Universidad Técnica Federico Santa María,6,Recoleta,Si,Si,Rechazado
Gerardo Mateo Riquelme Peña,47,Diseñador Gráfico,Universidad Diego Portales,3,Independencia,No,No,Rechazado
Martín Claudio Pizarro Cifuentes,42,Ingeniero Comercial,Universidad de Chile,14,Ñuñoa,No,Si,Aceptado
Rosa Sánchez,49,Abogado,Instituto Profesional AIEP,13,La Serena,Si,No,Rechazado
Francisca Hernández Flores,47,Psicólogo,DUOC UC,16,Valparaíso,Si,No,Aceptado
Francisca Jessica Vega Vásquez,46,Ingeniero Civil,INACAP,2,Ñuñoa,No,No,Rechazado
Bruno Federico Lorca González,27,Ingeniero Comercial,Pontificia Universidad Católica,6,Maipú,No,No,Rechazado
Amaro Riquelme Yáñez,46,Psicólogo,INACAP,17,San Miguel,No,No,Aceptado
José Rodrigo Araya Jorquera,33,Técnico en Informática,Pontificia Universidad Católica,9,Valparaíso,No,No,Aceptado
Lucio Norambuena Muñoz,49,Ingeniero Comercial,Universidad de Concepción,8,Providencia,Si,Si,Aceptado
Luisa Maturana,36,Enfermero,Universidad Adolfo Ibáñez,15,Ñuñoa,Si,Si,Aceptado
Ana Claudia Peralta Gallegos,39,Abogado,Universidad de Santiago,9,Antofagasta,Si,No,Aceptado
Lisette María Rodríguez Fuentes,37,Abogado,DUOC UC,2,Valparaíso,Si,No,Rechazado
Marcela Paola Hernández Cortés,48,Periodista,Universidad de Santiago,17,La Florida,No,No,Rechazado
Laura Fuentes Valencia,29,Ingeniero Civil,Instituto Profesional AIEP,4,San Miguel,No,No,Rechazado
Evaristo Cuevas Uribe,64,Técnico en Administración,Universidad de Chile,4,San Miguel,Si,No,Aceptado
Santos Cristian Navarro Troncoso,53,Médico,Instituto Profesional AIEP,8,Las Condes,Si,Si,Rechazado
Francisco Joel Gajardo Briceño,37,Psicólogo,Universidad Adolfo Ibáñez,0,San Miguel,No,Si,Rechazado
Diego Luis Estrada Cortés,34,Contador Auditor,Universidad Diego Portales,1,Concepción,No,No,Rechazado
Gabriela Rubilar Valenzuela,59,Diseñador Gráfico,DUOC UC,4,Ñuñoa,No,No,Rechazado
Nicole Martina Mora Riquelme,55,Enfermero,INACAP,4,La Florida,No,Si,Rechazado
Agustina Valeria Ramírez Leiva,49,Periodista,Universidad de Santiago,8,Estación Central,Si,Si,Rechazado
Sergio Muñoz Mena,65,Contador Auditor,Pontificia Universidad Católica,10,La Florida,No,Si,Rechazado
Antonio Martin Videla Burgos,65,Abogado,DUOC UC,11,Viña del Mar,Si,No,Rechazado
María Constanza Vera Sáez,33,Técnico en Administración,Universidad de Santiago,15,Concepción,Si,Si,Aceptado
Felipe Alejandro Bustamante Choque,47,Técnico en Informática,Universidad de Concepción,0,Maipú,Si,No,Rechazado
Carmen Susana Castillo Moncada,39,Enfermero,INACAP,10,Providencia,No,Si,Rechazado
Maximiliano Mendoza,43,Técnico en Informática,Universidad de Santiago,16,San Miguel,No,No,Rechazado
Verónica Morales Morales,56,Técnico en Administración,Universidad Diego Portales,0,Concepción,No,No,Rechazado
Gian Contreras Morales,37,Técnico en Informática,Universidad de Santiago,1,Las Condes,Si,Si,Aceptado
Valeria Morán,60,Contador Auditor,Universidad de Chile,5,Peñalolén,Si,No,Rechazado
Carlos Palma Salinas,22,Ingeniero Informático,INACAP,7,Concepción,Si,Si,Aceptado
Mario Juan Altamirano Cuevas,36,Contador Auditor,Universidad Mayor,20,Recoleta,Si,No,Aceptado
Walter Bustos Cáceres,35,Abogado,Universidad Técnica Federico Santa María,3,Viña del Mar,Si,Si,Rechazado
Fernanda Cecilia Escobar Castillo,34,Contador Auditor,Universidad de Chile,14,Valparaíso,No,No,Aceptado
Ángel Luengo Opazo,54,Enfermero,Pontificia Universidad Católica,5,Valparaíso,Si,Si,Aceptado
Vicente Canales,59,Licenciado en Ciencias,Instituto Profesional AIEP,13,Recoleta,No,Si,Rechazado
José Matías Valenzuela García,29,Diseñador Gráfico,Universidad de Santiago,2,San Miguel,Si,Si,Rechazado
Alejandra Patricia Salazar Toro,46,Diseñador Gráfico,Universidad Adolfo Ibáñez,7,Antofagasta,No,Si,Rechazado
Daniela Erika Osorio González,47,Psicólogo,Instituto Profesional AIEP,5,Quilicura,No,No,Rechazado
Adelaida Pizarro Sánchez,24,Enfermero,Universidad Mayor,9,Ñuñoa,Si,No,Rechazado
Alexis Ibáñez García,49,Ingeniero Civil,Universidad de Concepción,19,Maipú,Si,Si,Aceptado
María Durán Morales,40,Ingeniero Informático,Instituto Profesional AIEP,14,Estación Central,Si,No,Aceptado
Rebeca Trinidad Lagos Contreras,59,Técnico en Informática,Universidad de Santiago,20,Peñalolén,No,No,Aceptado
Julia Noemí Soto Prado,54,Técnico en Informática,Pontificia Universidad Católica,19,Las Condes,No,No,Aceptado
Josefina Cornejo,32,Arquitecto,Universidad Adolfo Ibáñez,20,Valparaíso,No,No,Rechazado
Javier Carlos Aguayo De La Fuente,25,Diseñador Gráfico,Universidad de Chile,3,Las Condes,No,No,Rechazado
Karina Flores-Guerra Rodríguez,23,Enfermero,Pontificia Universidad Católica,8,Antofagasta,No,Si,Rechazado
Sofía Alvarez,37,Técnico en Administración,Universidad Técnica Federico Santa María,16,Concepción,No,No,Aceptado
Fernando Juan Rodríguez Parra,33,Enfermero,Universidad de Concepción,2,Estación Central,Si,No,Rechazado
Rodrigo Tomás Díaz Vega,42,Médico,Universidad Adolfo Ibáñez,4,Providencia,Si,Si,Rechazado
Antonia Cruz,58,Periodista,INACAP,2,Santiago,Si,Si,Rechazado
Eduard Alan Ruiz Farías,30,Técnico en Informática,INACAP,3,Santiago,No,Si,Rechazado
David Yáñez,55,Arquitecto,Universidad de Santiago,0,Quilicura,Si,No,Rechazado
Daniela Alejandra Figueroa Maldonado,50,Ingeniero Comercial,Universidad Diego Portales,7,Recoleta,No,Si,Rechazado
Elvira Tapia,59,Psicólogo,Universidad Diego Portales,19,La Florida,Si,No,Aceptado
Sergio Luis Escobar Morán,49,Periodista,Universidad de Concepción,3,Puente Alto,No,Si,Rechazado
Claudio Víctor Reyes Mora,24,Arquitecto,Pontificia Universidad Católica,11,Santiago,Si,No,Rechazado
Magdalena Gallardo Godoy,22,Ingeniero Comercial,Universidad de Santiago,7,Puente Alto,No,Si,Rechazado
Catalina Valentina Rivera Martinez,27,Ingeniero Civil,Instituto Profesional AIEP,17,Estación Central,Si,No,Aceptado
María Margarita Montoya Rodríguez,29,Arquitecto,Universidad de Santiago,18,Concepción,Si,Si,Aceptado
Jenny Carolina Manríquez Delgado,22,Técnico en Administración,Pontificia Universidad Católica,12,Ñuñoa,Si,No,Rechazado
Mario Droguett,41,Psicólogo,Universidad de Concepción,16,Maipú,No,Si,Aceptado
Maximiliano Marco González Silva,59,Periodista,Universidad Diego Portales,16,Maipú,Si,Si,Aceptado
Isabella Anahis Rivas Altamirano,63,Diseñador Gráfico,Universidad Diego Portales,10,La Florida,No,No,Rechazado
Hugo Pablo Lillo Fernández,62,Arquitecto,Universidad Técnica Federico Santa María,8,Maipú,No,No,Rechazado
José Maximiliano Toledo Fernández,42,Enfermero,Universidad Técnica Federico Santa María,18,Las Condes,Si,Si,Aceptado
José Adrián Jara Pereira,62,Médico,Pontificia Universidad Católica,6,Independencia,No,No,Rechazado
Pedro Ignacio Vega Pozo,34,Psicólogo,Universidad de Santiago,13,Puente Alto,No,Si,Aceptado
Beatriz María Méndez Matus,61,Licenciado en Ciencias,Universidad Mayor,11,Quilicura,Si,No,Rechazado
Alex Palacios Zapata,33,Licenciado en Ciencias,Universidad Mayor,15,La Serena,Si,No,Aceptado
Jazmín Karina Mansilla-Correa Urrutia,47,Contador Auditor,Universidad Diego Portales,6,Providencia,Si,No,Aceptado
Camilo Suazo Faúndez,41,Técnico en Administración,Pontificia Universidad Católica,17,Puente Alto,No,Si,Aceptado
Catalina Valentina Lorca Alvarado,25,Abogado,Universidad de Chile,0,Recoleta,No,Si,Rechazado
Luis Eusebio Villagra Rivera,49,Técnico en Administración,Universidad Andrés Bello,7,Viña del Mar,No,Si,Rechazado
María Constanza Núñez Jerez,54,Médico,INACAP,11,Las Condes,Si,Si,Rechazado
Danilo Michael Ibarra Briceño,50,Ingeniero Civil,Universidad de Concepción,8,San Miguel,Si,Si,Rechazado
María Emma Rubilar Cavieres,32,Médico,DUOC UC,12,La Serena,No,No,Rechazado
Francisco Velásquez,41,Técnico en Administración,Instituto Profesional AIEP,5,Independencia,Si,Si,Aceptado
Anderson Gabriel González Saavedra,23,Contador Auditor,Pontificia Universidad Católica,5,Quilicura,Si,Si,Rechazado
Hugo Alexis Aros Torres,64,Médico,Universidad de Santiago,0,Antofagasta,No,No,Rechazado
Jacqueline Belén Ceballos Quintana,36,Diseñador Gráfico,Universidad Diego Portales,4,Las Condes,No,No,Rechazado
Fanny Maritza Ramírez Arévalo,44,Arquitecto,Universidad Técnica Federico Santa María,5,Providencia,Si,Si,Rechazado
Martina Tamara Figueroa Navarro,64,Técnico en Administración,Pontificia Universidad Católica,17,Valparaíso,Si,No,Aceptado
Javiera Diana Véliz Opazo,59,Periodista,Instituto Profesional AIEP,11,La Florida,Si,Si,Rechazado
Paola Arce,24,Arquitecto,Universidad de Santiago,2,Santiago,Si,No,Rechazado
María Tabita Palma Fuentes,57,Psicólogo,Universidad Mayor,0,La Serena,No,Si,Rechazado
Julio Bustamante,55,Psicólogo,Universidad de Santiago,4,Peñalolén,Si,Si,Rechazado
Tomás Silva,41,Psicólogo,DUOC UC,18,Peñalolén,Si,No,Aceptado
Yolanda Sepúlveda,39,Arquitecto,Universidad Andrés Bello,2,Las Condes,No,No,Rechazado
Guillermo Jonathan Ojeda Martínez,59,Abogado,Universidad Adolfo Ibáñez,4,Providencia,No,Si,Rechazado
Erika Cerda Sáez,33,Psicólogo,Universidad de Santiago,5,Peñalolén,Si,Si,Aceptado
Verónica Ruiz Salas,26,Licenciado en Ciencias,Instituto Profesional AIEP,2,La Serena,Si,Si,Rechazado
Inés Rosa Solís Echeverría,25,Enfermero,Universidad de Chile,13,Puente Alto,Si,No,Aceptado
Héctor Alexis Miranda Godoy,27,Psicólogo,DUOC UC,14,Maipú,Si,Si,Aceptado
Maura Aurora Gutiérrez Carrasco,63,Abogado,Instituto Profesional AIEP,4,Viña del Mar,Si,No,Rechazado
Iván Diego Muñoz Olivares,56,Licenciado en Ciencias,DUOC UC,5,Estación Central,No,Si,Rechazado
Eduardo Sergio Morales Rojas,30,Diseñador Gráfico,Universidad Adolfo Ibáñez,16,Ñuñoa,Si,Si,Aceptado
Roxana María Ortega Maldonado,38,Licenciado en Ciencias,Universidad Mayor,12,Providencia,No,Si,Rechazado
José Troncoso Alvear,43,Técnico en Informática,Universidad de Concepción,3,Quilicura,No,Si,Rechazado
Brayan Fernando Barrientos Oliva,43,Abogado,INACAP,20,Santiago,No,Si,Aceptado
Sergio Saúl Allendes Donoso,24,Contador Auditor,Universidad Andrés Bello,9,Quilicura,Si,No,Aceptado
Mauricio Raimundo Cofré Torres,42,Psicólogo,Universidad Andrés Bello,13,Concepción,Si,Si,Aceptado
Juan Enrique Alegría Rozas,42,Ingeniero Informático,Universidad de Chile,11,Viña del Mar,Si,Si,Aceptado
Ámbar Nicole Jara Ponce,45,Abogado,Universidad Adolfo Ibáñez,2,Santiago,No,Si,Aceptado
Daniel Santiago Vivanco Cavieres,55,Médico,Universidad Diego Portales,10,Independencia,No,Si,Rechazado
Elizabeth Clara Marín Pérez,39,Licenciado en Ciencias,Universidad Mayor,7,Puente Alto,No,No,Rechazado
Francisco Gutiérrez Correa,45,Ingeniero Civil,Universidad de Santiago,18,Peñalolén,Si,Si,Aceptado
Juan Alejandro Rebolledo Gallardo,38,Licenciado en Ciencias,Universidad Mayor,4,Viña del Mar,No,No,Rechazado
Gabriel Matías Muñoz Manríquez,40,Arquitecto,Pontificia Universidad Católica,20,Ñuñoa,Si,No,Aceptado
Blanca García Vásquez,42,Ingeniero Comercial,Universidad Andrés Bello,10,Providencia,No,Si,Aceptado
Vicente José Pastén Salinas,26,Licenciado en Ciencias,Universidad de Concepción,16,Peñalolén,No,No,Aceptado
Constanza Ahumada,27,Arquitecto,Instituto Profesional AIEP,16,Estación Central,No,No,Rechazado
Mario Víctor Muñoz González,47,Contador Auditor,Universidad Técnica Federico Santa María,15,Las Condes,Si,Si,Aceptado
Eduardo Zúñiga Salas,57,Médico,Universidad Andrés Bello,5,Ñuñoa,Si,Si,Rechazado
Juan Osvaldo Rojas Riffo,45,Ingeniero Informático,INACAP,14,Valparaíso,No,No,Aceptado
Alex Julio Bravo Villarroel,38,Ingeniero Comercial,Universidad Mayor,18,Recoleta,Si,No,Aceptado
Olga Antonella Cisternas Muñoz,48,Contador Auditor,INACAP,17,Peñalolén,Si,Si,Aceptado
Felipe Vergara,28,Ingeniero Informático,Universidad Diego Portales,12,Quilicura,Si,Si,Aceptado
Carmen González,30,Enfermero,Universidad Adolfo Ibáñez,7,Maipú,Si,Si,Rechazado
Leonardo Benavides Briceño,53,Psicólogo,DUOC UC,7,La Serena,Si,No,Aceptado
Tomás Erick González Oyarzo,59,Contador Auditor,Universidad de Santiago,2,Santiago,No,No,Rechazado
Ana Belén Riveros Belmar,52,Abogado,Instituto Profesional AIEP,15,Antofagasta,Si,Si,Rechazado
Lucas Daniel Jorquera Cortés,43,Técnico en Informática,Pontificia Universidad Católica,10,Maipú,Si,Si,Aceptado
Adela Álvarez Saavedra,42,Ingeniero Civil,Universidad Técnica Federico Santa María,15,Maipú,Si,No,Aceptado
Florencia Nataly Contreras Villagra,62,Psicólogo,Universidad Diego Portales,2,Las Condes,No,Si,Rechazado
José Cristian Torres Carmona,28,Ingeniero Civil,Pontificia Universidad Católica,2,San Miguel,No,Si,Rechazado
Maritza Gallardo,46,Ingeniero Comercial,Universidad Adolfo Ibáñez,4,Ñuñoa,Si,No,Rechazado
Víctor González,26,Ingeniero Civil,Universidad de Santiago,8,Viña del Mar,No,No,Rechazado
Mario Quezada,57,Ingeniero Civil,DUOC UC,2,Viña del Mar,Si,No,Rechazado
Rodrigo Peralta,35,Licenciado en Ciencias,Universidad de Santiago,3,Peñalolén,No,No,Rechazado
Félix Cabrera,59,Ingeniero Informático,Universidad de Chile,10,Puente Alto,No,No,Rechazado
Daniela Pino Moyano,53,Técnico en Administración,Universidad Mayor,1,Concepción,Si,Si,Aceptado
Antonia Ana Ruiz Hurtado,40,Contador Auditor,DUOC UC,5,Maipú,No,Si,Rechazado
Robert Figueroa,63,Periodista,Universidad Mayor,15,Puente Alto,Si,No,Rechazado
Bernardo Juan Jiménez Villablanca,23,Médico,Instituto Profesional AIEP,1,Recoleta,No,No,Rechazado
Alison Margarita Neira San Martín,55,Psicólogo,Universidad Andrés Bello,6,La Serena,No,No,Rechazado
Javiera Silva Alarcón,44,Contador Auditor,Universidad de Santiago,13,Santiago,No,Si,Aceptado
Patricia Susana Ojeda Zúñiga,60,Ingeniero Civil,Universidad de Concepción,20,Providencia,No,No,Rechazado
Francisco Ayala Riveros,38,Médico,Universidad Andrés Bello,8,Puente Alto,Si,Si,Rechazado
Bárbara Constanza González Barría,52,Licenciado en Ciencias,Universidad Diego Portales,16,Puente Alto,No,Si,Rechazado
Enrique Toro,53,Médico,Universidad Técnica Federico Santa María,9,Independencia,No,Si,Aceptado
Benjamín Víctor Ovalle Vilches,53,Ingeniero Informático,Universidad Técnica Federico Santa María,17,Estación Central,No,Si,Aceptado
Julia Bárbara Aguilera Saavedra,49,Arquitecto,Instituto Profesional AIEP,13,Recoleta,Si,Si,Aceptado
Rosa Aguirre González,25,Enfermero,INACAP,12,Antofagasta,No,Si,Rechazado
Nancy Flores,29,Técnico en Informática,Universidad de Chile,17,Las Condes,Si,Si,Aceptado
Cristina Ida Jara Núñez,55,Diseñador Gráfico,Universidad Técnica Federico Santa María,10,Santiago,No,Si,Aceptado
Rosa Sandra Cortés Pino,36,Psicólogo,Universidad Andrés Bello,16,San Miguel,Si,No,Aceptado
Andrés Sebastián Carvajal Molina,59,Arquitecto,Universidad de Santiago,16,Estación Central,Si,Si,Aceptado
Rosa Hidalgo,29,Ingeniero Informático,Universidad Andrés Bello,8,Maipú,Si,No,Aceptado
Irene Ortiz,49,Ingeniero Comercial,Universidad Adolfo Ibáñez,10,Independencia,Si,No,Rechazado
Ángela Ana Salazar Díaz,64,Contador Auditor,Universidad Adolfo Ibáñez,18,Maipú,Si,No,Aceptado
Miguel Castillo Acosta,39,Médico,Universidad Diego Portales,14,Concepción,No,Si,Rechazado
Katherine Parraguez Ramírez,40,Arquitecto,Universidad Mayor,16,Recoleta,Si,Si,Aceptado
Abigail María Guzmán Escobar,38,Técnico en Administración,Universidad de Concepción,0,Quilicura,Si,Si,Rechazado
Tomás Martínez Ibarra,46,Arquitecto,Universidad de Chile,9,Independencia,Si,Si,Rechazado
Nidia Lorena Pavez Salinas,58,Diseñador Gráfico,Universidad Adolfo Ibáñez,0,Puente Alto,Si,No,Rechazado
David Alfredo Morales Sepúlveda,32,Ingeniero Informático,Universidad Adolfo Ibáñez,16,Las Condes,Si,No,Aceptado
Martín Javier Vásquez Lazo,41,Psicólogo,Universidad de Santiago,18,Las Condes,No,No,Aceptado
José Riveros Sepúlveda,58,Ingeniero Civil,Universidad de Concepción,9,San Miguel,Si,Si,Aceptado
Matías Sánchez Gómez,62,Psicólogo,Universidad de Concepción,2,Ñuñoa,Si,Si,Rechazado
María Johanna Ramírez Araneda,39,Técnico en Administración,INACAP,13,Viña del Mar,Si,No,Aceptado
Vicente Espinoza Maturana,57,Técnico en Informática,DUOC UC,1,Recoleta,No,Si,Rechazado
Pascale Guzmán,30,Enfermero,INACAP,5,Puente Alto,Si,No,Aceptado
Rosa Solar,44,Ingeniero Comercial,Universidad de Chile,12,Quilicura,Si,No,Aceptado
Claudio Vallejos,30,Contador Auditor,Pontificia Universidad Católica,7,Las Condes,No,Si,Aceptado
Ana Figueroa Piña,65,Técnico en Administración,Universidad de Santiago,11,Las Condes,Si,No,Aceptado
Solange Gómez Cisternas,61,Diseñador Gráfico,Universidad Andrés Bello,0,Concepción,Si,No,Rechazado
Marco Barrera Contreras,31,Periodista,Universidad de Santiago,20,Viña del Mar,Si,Si,Aceptado
Hugo Héctor Salazar Núñez,31,Ingeniero Comercial,Universidad Adolfo Ibáñez,13,San Miguel,Si,No,Rechazado
Rafael Ibáñez,38,Arquitecto,Universidad Mayor,3,Antofagasta,No,No,Rechazado
María Erika Neira Roa,56,Contador Auditor,Universidad Técnica Federico Santa María,2,Ñuñoa,Si,No,Rechazado
Pedro Ronaldo Vásquez Díaz,45,Diseñador Gráfico,Universidad Mayor,10,Concepción,Si,Si,Rechazado
Domingo Maximiliano Palma Reyes,47,Psicólogo,Universidad de Chile,5,Viña del Mar,Si,No,Rechazado
Guillermina Silva González,38,Enfermero,Universidad Diego Portales,7,Concepción,Si,Si,Aceptado
Ricardo Damián Navarrete Guzmán,33,Ingeniero Civil,Universidad Técnica Federico Santa María,20,La Florida,No,Si,Aceptado
María Cifuentes-Núñez,58,Técnico en Informática,Pontificia Universidad Católica,5,Quilicura,No,No,Rechazado
Ernesto Jaime Vergara Gallardo,53,Técnico en Informática,Universidad Diego Portales,20,Peñalolén,Si,No,Aceptado
Claudia Andrade Marín,33,Ingeniero Informático,Universidad Adolfo Ibáñez,15,Independencia,No,Si,Aceptado
Moisés Harold Chávez Garcés,57,Técnico en Informática,Universidad de Chile,12,Peñalolén,No,No,Aceptado
Marcela Patricia Calderón Céspedes,43,Contador Auditor,Universidad Técnica Federico Santa María,3,Peñalolén,Si,Si,Rechazado
Carmen Natalia Gálvez Bastías,50,Médico,Instituto Profesional AIEP,8,Ñuñoa,Si,No,Rechazado
Scarlett Melissa Salgado Pérez,44,Médico,Universidad Mayor,11,Viña del Mar,Si,Si,Aceptado
Sofía Carmen Carrasco Cancino,47,Enfermero,DUOC UC,7,La Serena,No,No,Rechazado
Cecilia Cornejo,49,Diseñador Gráfico,Universidad Técnica Federico Santa María,8,Concepción,No,Si,Aceptado
José Lobos Robles,47,Técnico en Administración,Instituto Profesional AIEP,11,Providencia,Si,Si,Rechazado
María Valeska Aravena Valencia,40,Médico,INACAP,10,La Florida,Si,Si,Rechazado
Bastián Rebolledo Cea,29,Médico,Universidad Técnica Federico Santa María,7,Maipú,Si,No,Rechazado
Cristian Carlos Hernández Silva,59,Ingeniero Comercial,Universidad Diego Portales,14,Viña del Mar,Si,Si,Aceptado
Miriam Geraldine Cabezas Barriga,47,Enfermero,Universidad Andrés Bello,16,Peñalolén,No,Si,Aceptado
Erwin Paredes Saavedra,54,Ingeniero Comercial,DUOC UC,17,Antofagasta,No,No,Aceptado
Graciela Cerda Leiva,55,Enfermero,Universidad de Concepción,14,La Serena,No,Si,Rechazado
Raúl Collao,27,Médico,Instituto Profesional AIEP,5,La Serena,No,Si,Rechazado
Loreto Allendes-Guzmán Molina,39,Técnico en Administración,Universidad de Santiago,13,Maipú,Si,Si,Aceptado
Maite Katherine Ramírez Huerta,51,Diseñador Gráfico,Pontificia Universidad Católica,5,Quilicura,No,No,Rechazado
Paula Maritza Rozas Bahamonde,65,Contador Auditor,DUOC UC,12,Concepción,No,Si,Rechazado
Paula Blanca Salinas López,37,Ingeniero Informático,Universidad de Concepción,3,Independencia,Si,No,Rechazado
Magdalena Osses,47,Ingeniero Civil,DUOC UC,11,Estación Central,Si,Si,Aceptado
Mariano Jofré,59,Arquitecto,INACAP,17,Peñalolén,No,Si,Rechazado
Carlos Díaz Bugueño,25,Psicólogo,Universidad de Concepción,11,Quilicura,No,No,Rechazado
Adrián Samuel Carrasco Barraza,34,Enfermero,Instituto Profesional AIEP,9,Ñuñoa,Si,Si,Aceptado
Emilia Reyes Hernández,53,Contador Auditor,Instituto Profesional AIEP,3,Valparaíso,No,No,Rechazado
María Makarena Salazar Piña,41,Arquitecto,DUOC UC,17,Las Condes,Si,No,Rechazado
David Fernando Fuentes Venegas,43,Licenciado en Ciencias,DUOC UC,11,Concepción,No,Si,Aceptado
Javiera María Mendoza Aravena,64,Abogado,Universidad de Santiago,20,Las Condes,No,No,Aceptado
Cintia Donoso,61,Ingeniero Informático,Universidad Mayor,1,Santiago,Si,Si,Aceptado
Melissa Ríos,48,Enfermero,Universidad Técnica Federico Santa María,2,Providencia,Si,Si,Rechazado
Alex González Morales,31,Técnico en Informática,Universidad de Chile,3,Recoleta,Si,No,Rechazado
Gina Francisca Plaza Henríquez,22,Psicólogo,INACAP,6,La Serena,No,Si,Rechazado
Gabriela Astrid Pavez Torres,41,Periodista,Universidad de Chile,19,Puente Alto,No,No,Rechazado
Florencia Martínez Sepúlveda,48,Diseñador Gráfico,INACAP,13,La Florida,No,No,Rechazado
César Daniel Silva Llanos,50,Psicólogo,Universidad de Santiago,19,Peñalolén,Si,No,Rechazado
Julián Lorenzo Guzmán Contreras,22,Ingeniero Civil,DUOC UC,12,Providencia,Si,Si,Rechazado
